Season,Quarter,down,Opponent,distance,Diff_Score,Play_Type,Poss,Passer,Targeted,Carrier,Yards,Entry,training_1,training_2,training_3,training_4,training_5,shipping_packaging_available,ship_obs,patients_per_day,centrifuge_#,centrifuge_func,centrifuge_why,temp_(2-8)#,fridge_func,phone,phone_obs,fax,fax_obs,computer,computer_obs,internet,internet_obs,latitude,longitude,tdr_palu,tdr_hiv,widal,hb_sahli,list_of_all_exams,hierarchy,pdiag_hiv,pdiag_palu,pdiag_widal,pdiag_hb_sahli,pcomm,pship,training
2017, 1st,,AKR,,0,other,OPP,0,0,0,65,0,biochemistry,bacteriology,hematology,parasitology,serology,Yes,Triple packaging,10,2,1 Yes 1 No,vetuste,2,No,0,,0,,0,,0,,10.178,-14.031,1,1,1,1,"Urinalysis; frotis vaginal; BK; CSF; semen analysis; pregnancy test; GLUCOSE; albuminerie; glucourie; GE; microfilaria; stool HB, TE; NFS blood grouping; hematocrit; BW; Widal; Aslo, hepatitis B and C",Guinea.boke.boffa.hp_labs_boffa,1,1,1,1,0,1,"biochemistry,bacteriology,hematology,parasitology,serology"
2017, 1st,1st ,AKR,10,0,run,OPP,0,0, Warren Ball ,9,1,bacteriology,serology,sample transport,hematology,parasitology,No,No,20,0,,,0,,0,,0,,0,,0,,10.370727,-13.584125,1,1,1,1,TDR / Palu; Widal; glucose; Aslo; BW; HBsAg; HIV; Hb (sally); urinary sediment; stools,Guinea.boke.fria.cs_lab_sabende,1,1,1,1,0,0,"bacteriology,serology,sample transport,hematology,parasitology"
2017, 1st,2nd ,AKR,1,0,pass,OPP, Thomas Woodson, Tra'Von Chapman ,0,2,2,bacteriology,biochemistry,immunology,hematology,parasitology,No,No,6,1,Yes,,1,No,0,,0,,1,,0,,10.370727,-13.584125,1,1,1,1,"Hb; NFS; VS; TC; TS Saddles GE; Search microfilariae; TE; sputum, vaginal secretions, urine cultures; Glucose; creatinine urea; transaminase; cholesterol HIV RPR; Aslo; Widal; HBsAg; CD4; blood grouping",Guinea.boke.fria.biomedical_lab_and_blood_transfusion_fria,1,1,1,1,0,0,"bacteriology,biochemistry,immunology,hematology,parasitology"
2017, 1st,1st ,AKR,10,0,run,OPP,0,0, Warren Ball ,-3,3,hematology,biochemistry,bacteriology (antimicrobial),sero-immunology,molecular biology,No,No,100,2,Yes,,6,Yes,0,,0,,1,,0,,10.665213,-14.603128,0,1,1,0,"Urea glucose: uric acid, creatinine, cholesterol and fractions; calcium; alkaline phosphatase, acid phosphatase, transaminases, bilirubin, total protein, albumin, blood typing; thick film; microfilaria; stools chemistry urine; LCR ANTIBIOGRAM; Hepatitis b and c; PSA; troponin; A1C; BLOOD COUNT cmplet; Hemostasis; stools; drop thick; Widal; ASLO; syphilis; Toxoplasmosis; RUBEOL; .crp; biochemistry of hormones; Spermogram",Guinea.boke.boke.laboratory_hospital_anaim_kamsar,1,0,1,0,0,0,"hematology,biochemistry,bacteriology (antimicrobial),sero-immunology,molecular biology"
2017, 1st,2nd ,AKR,13,0,pass,OPP, Thomas Woodson, Kevin Gladney ,0,0,4,biochemistry,hematology,bacteriology,lab management,sample,No,No,15,0,,,0,,0,,0,,0,,0,,10.66526,-14586066,1,1,1,1,"Widal, HIV TDR, TDR Palu, hemoglobin, erythrocyte sedimentation rate, blood glucose, aslo, RPR, proteinuria, emmel test",Guinea.boke.boke.cs_lab_kassapo,1,1,1,1,0,0,"biochemistry,hematology,bacteriology,lab management,sample"
2017, 1st,3rd ,AKR,13,0,pass,OPP, Thomas Woodson, Tra'Von Chapman ,0,4,5,sample,hiv screening,hematology,bacteriology,biochemistry,No,No,0,1,Yes,,0,,0,,0,,0,,0,,10.934619,-14.291773,1,1,1,1,"TDR malaria and HIV, Hb; stool microscopy, TE, Widal, RPR, microscopic examination of vaginal secretions, urine sediment, Aslo, Blood Glucose, Pregnancy Test, Albumin",Guinea.boke.boke.cs_lab_dibia,0,0,0,0,0,0,"sample,hiv screening,hematology,bacteriology,biochemistry"
2017, 1st,4th ,AKR,9,0,other,OPP,0,0,0,46,6,biochemistry,parasitology,blood transfusion,bacteriology,hematology,Yes,Triple packaging,40,2,1 Yes 1 No,antiquated,2,Yes,0,,0,,1,Nonfunctional,0,,10.94,-14.29,1,1,1,1,"Hb, NFS, Tc Ts, TE, blood Goupage, GE, stool microscopy, microfilaria search, albumin, Aslo, Toxoplasmosis, RPR, Vidal, TDR HbS, urinary sediment, vaginal smears, CSF",Guinea.boke.boke.hr_boke_lab,1,1,1,1,0,1,"biochemistry,parasitology,blood transfusion,bacteriology,hematology"
2017, 1st,1st ,AKR,10,0,run,PSU,0,0, Trace McSorley ,7,7,blood transfusion,biosecurity,serology,bacteriology,hematology,No,No,15,2,1 Yes 1 No,,3,No,0,,0,,0,,0,,11.76368,-13.200053,0,1,1,1,"Stool microfilaria research thick Drop, HB, NFS, VS, TE, TC, TS, glucose, urine sediment, pregnancy test, HIV TDR, TDR hepatitis B, RPR, Widal",Guinea.boke.gaoual.hp_labs_gaoual,1,0,1,1,0,0,"blood transfusion,biosecurity,serology,bacteriology,hematology"
2017, 1st,2nd ,AKR,3,0,pass,PSU, Trace McSorley, DaeSean Hamilton ,0,0,8,serology,hematology,biochemistry,bacteriology,parasitology,No,No,10,0,,,0,,0,,0,,0,,0,,12.403208,-13.5283,1,1,0,1,"HIV, Glucose, Hb, albumin in the urine, stool examination (if microscope works)",Guinea.boke.koundara.cs_lab_saraboido,1,1,0,1,0,0,"serology,hematology,biochemistry,bacteriology,parasitology"
2017, 1st,3rd ,AKR,3,0,run,PSU,0,0, Trace McSorley ,15,9,bacteriology,biochemistry,hematology,parasitology,serology,No,Existence of coolers,,3,"Other (specify in ""comments"")",electric current causes lack inoperative electrical centrifugieuses,3,1 Yes 1 No,0,,0,,0,,0,,12.491184,-13.295664,1,1,1,1,"NFS, urinalysis, biochemistry urine, sputum, stool microscopy, glucose, Aslo, Widal, TDR HIV, pregnancy test, LCR, GE, semen analysis, vaginal smear",Guinea.boke.koundara.hp_labs_koundara,0.25,0.25,0.25,0.25,0,0.25,"bacteriology,biochemistry,hematology,parasitology,serology"
2017, 1st,1st ,AKR,10,0,pass,PSU, Trace McSorley, Juwan Johnson ,0,16,10,bacteriology,biochemistry,hematology,parasitology,serology,No,No,30,2,Yes,,1,Yes,1,non-functional because of the stop of the plant,0,,1,,0,,,,0,1,1,0,"Urea glucose: uric acid, creatinine, cholesterol and fractions; calcium; alkaline phosphatase, acid phosphatase, transaminases, bilirubin, total protein, albumin, blood typing; thick film; microfilaria; stools chemistry urine; LCR ANTIBIOGRAM; Hepatitis B and C; hemoculture; Hemostasis; electrophoresis lhemoglobine; complete electrolytes, serum iron, Gamma GT, cytological analysis of breast milk",Guinea.boke.fria.laboratory_hospital_rusal_fria,1,0,1,0,1,0,"bacteriology,biochemistry,hematology,parasitology,serology"
2017, 1st,1st ,AKR,10,0,pass,PSU, Trace McSorley, DaeSean Hamilton ,0,0,11,hematology,bacciloscopie tuberculosis,bacteriology (antimicrobial),sero-immunology,biochemistry,Yes,triple packaging,25,1,Yes,,5,Yes,1,,0,,1,,0,,,,0,1,1,0,"Glucose; urea: uric acid, creatinine, cholesterol and fractions; calcium; alkaline phosphatase, acid phosphatase, transaminases, bilirubin, total protein, albumin, blood typing; thick film; microfilaria; stools chemistry urine; LCR ANTIBIOGRAM; Hepatitis B and C Widal; ASLO; HIV; paludienne Serology; amylase; chemistry panel; NFS with constant erythrocyte",Guinea.boke.boke.laboratory_clinic_cbg_sangaredi,1,0,1,0,1,1,"hematology,bacciloscopie tuberculosis,bacteriology (antimicrobial),sero-immunology,biochemistry"
2017, 1st,2nd ,AKR,10,0,run,PSU,0,0, Trace McSorley ,10,12,biochemistry,,,,,No,No,1,0,N / A,,0,N / A,0,,0,,0,,0,,,,0,0,0,1,,Guinea.boke.fria.clinical_lab_hafia_djama,0,0,0,1,0,0,"biochemistry,nan,nan,nan,nan"
2017, 1st,1st ,AKR,10,0,pass,PSU, Trace McSorley, DeAndre Thompkins ,0,15,13,serology,parasitology,biochemistry,blood transfusion,hematology,No,No,0,0,N / A,,0,N / A,0,,0,,0,,0,,,,0,0,0,0,N / A,Guinea.boke.boke.laboratory_bab_boke,0,0,0,0,0,0,"serology,parasitology,biochemistry,blood transfusion,hematology"
2017, 1st,1st ,AKR,10,0,run,PSU,0,0, TEAM ,-2,14,biochemistry,hematology,parasitology,bacteriology,immuno-serology,No,No,10,2,1 Yes 1 No,Technical problem,1,Yes,0,,0,,0,,0,,9.517203,-13.70183,0,1,1,0,"Complete blood count, Hematocrit, Hemoglobin, GR, GB, Platelet, TC, TS, blood grouping and Rh, thick Drop Test Emmel, erythrocyte sedimentation rate, Glucose, creatinine, bilirubin, transaminase, ASO, RPR, TPHA, Widal, HIV Saddles",Guinea.conakry.kaloum_commune.cmc_lab_bk,1,0,1,0,0,0,"biochemistry,hematology,parasitology,bacteriology,immuno-serology"
2017, 1st,2nd ,AKR,12,0,pass,PSU, Trace McSorley,0,0,0,15,lab management,bacteriology,hematology,biochemistry,immunology,No,No,30,1,Yes,,1,Yes,0,,0,,0,,0,,9.535035,-13.678447,1,1,1,1,"GE, NFS, Widal, Aslo, RPR, urinary sediment, albumin in the urine, glucose, TE, stool microscopy, TC TS",Guinea.conakry.matam.coleah_cmc_labo,1,1,1,1,0,0,"lab management,bacteriology,hematology,biochemistry,immunology"
2017, 1st,1st ,AKR,10,7,pass,OPP, Thomas Woodson, Anthony Young ,0,-2,16,hematology,parasitology,blood biochemistry,ear,maintenance,No,No,40,1,Yes,,1,Yes,0,,0,,0,,0,,9.540062,-13.66532,0,0,1,1,"Saddles, THb, thick Drop, TE, D, albumin, sugar, NFS, Urinalysis, Blood Grouping, Widal",Guinea.conakry.commune_of_matam.cs_lab_madina,0,0,1,1,0,0,"hematology,parasitology,blood biochemistry,ear,maintenance"
