Entry,DD,Down,Distance,Yardline,Poss,Quarter,Time,Team_Score,Opp_Score,Diff_Score,Text,Yards,Pass,Passer,Completed,Targeted,Run,Carrier,Punt,Field_Goal,Koreturn,Penalty,Date,Season,Location,HomeField,Line,O_U,Attendance,Gameid,Opponent,Play_Type,Poss
0,,,,,AKR, 1st,15:00,0,0,0, (15:00 - 1st) Tyler Davis kickoff for 65 yds for a touchback ,65,,,,,,,,,,,9/2/2017,2017," University Park, PA 16802 ",home,PSU-30.0,62,"101,684",400935237,AKR,other,OPP
1,1st and 10 at AKR 25,1st ,10, AKR 25,AKR, 1st,15:00,0,0,0, (15:00 - 1st) Warren Ball run for 9 yds to the Akron 34 ,9,0,0,0,0,1, Warren Ball ,0,0,0,0,9/2/2017,2017," University Park, PA 16802 ",home,PSU-30.0,62,"101,684",400935237,AKR,run,OPP
2,2nd and 1 at AKR 34,2nd ,1, AKR 34,AKR, 1st,14:21,0,0,0, (14:21 - 1st) Thomas Woodson pass complete to Tra'Von Chapman for 2 yds to the Akron 36 for a 1ST down ,2,1, Thomas Woodson,1, Tra'Von Chapman ,0,0,0,0,0,0,9/2/2017,2017," University Park, PA 16802 ",home,PSU-30.0,62,"101,684",400935237,AKR,pass,OPP
3,1st and 10 at AKR 36,1st ,10, AKR 36,AKR, 1st,13:47,0,0,0, (13:47 - 1st) Warren Ball run for a loss of 3 yards to the Akron 33 ,-3,0,0,0,0,1, Warren Ball ,0,0,0,0,9/2/2017,2017," University Park, PA 16802 ",home,PSU-30.0,62,"101,684",400935237,AKR,run,OPP
4,2nd and 13 at AKR 33,2nd ,13, AKR 33,AKR, 1st,13:21,0,0,0, (13:21 - 1st) Thomas Woodson pass incomplete to Kevin Gladney ,0,1, Thomas Woodson,0, Kevin Gladney ,0,0,0,0,0,0,9/2/2017,2017," University Park, PA 16802 ",home,PSU-30.0,62,"101,684",400935237,AKR,pass,OPP
5,3rd and 13 at AKR 33,3rd ,13, AKR 33,AKR, 1st,13:02,0,0,0, (13:02 - 1st) Thomas Woodson pass complete to Tra'Von Chapman for 4 yds to the Akron 37 ,4,1, Thomas Woodson,1, Tra'Von Chapman ,0,0,0,0,0,0,9/2/2017,2017," University Park, PA 16802 ",home,PSU-30.0,62,"101,684",400935237,AKR,pass,OPP
6,4th and 9 at AKR 37,4th ,9, AKR 37,AKR, 1st,12:31,0,0,0," (12:31 - 1st) Nick Gasser punt for 46 yds , DeAndre Thompkins returns for 9 yds to the PnSt 26 ",46,0,0,0,0,0,0,1,0,0,0,9/2/2017,2017," University Park, PA 16802 ",home,PSU-30.0,62,"101,684",400935237,AKR,other,OPP
7,1st and 10 at PSU 26,1st ,10, PSU 26,PSU, 1st,12:31,0,0,0, (12:31 - 1st) Trace McSorley run for 7 yds to the PnSt 33 ,7,0,0,0,0,1, Trace McSorley ,0,0,0,0,9/2/2017,2017," University Park, PA 16802 ",home,PSU-30.0,62,"101,684",400935237,AKR,run,PSU
8,2nd and 3 at PSU 33,2nd ,3, PSU 33,PSU, 1st,12:07,0,0,0, (12:07 - 1st) Trace McSorley pass incomplete to DaeSean Hamilton ,0,1, Trace McSorley,0, DaeSean Hamilton ,0,0,0,0,0,0,9/2/2017,2017," University Park, PA 16802 ",home,PSU-30.0,62,"101,684",400935237,AKR,pass,PSU
9,3rd and 3 at PSU 33,3rd ,3, PSU 33,PSU, 1st,11:58,0,0,0, (11:58 - 1st) Trace McSorley run for 15 yds to the PnSt 48 for a 1ST down ,15,0,0,0,0,1, Trace McSorley ,0,0,0,0,9/2/2017,2017," University Park, PA 16802 ",home,PSU-30.0,62,"101,684",400935237,AKR,run,PSU
