,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PITT, 1st,15:00 ,0,0,0," (15:00 - 1st) Tyler Davis kickoff for 63 yds , Quadree Henderson return for 17 yds to the Pitt 19 ",63,,,,,,,,,,,9/9/2017,2017," University Park, PA 16802 ",home,PSU-20.0,64," 109,898",400935245
1,1st and 10 at PITT 19,1st , 10 , PITT 19,PITT, 1st,14:50 ,0,0,0, (14:50 - 1st) Qadree Ollison run for 3 yds to the Pitt 22 ,3,0,0,0,0,1, Qadree Ollison ,0,0,0,0,9/9/2017,2017," University Park, PA 16802 ",home,PSU-20.0,64," 109,898",400935245
2,2nd and 7 at PITT 22,2nd , 7 , PITT 22,PITT, 1st,14:15 ,0,0,0, (14:15 - 1st) Max Browne pass complete to Quadree Henderson for 5 yds to the Pitt 27 ,5,1, Max Browne,1, Quadree Henderson ,0,0,0,0,0,0,9/9/2017,2017," University Park, PA 16802 ",home,PSU-20.0,64," 109,898",400935245
3,3rd and 2 at PITT 27,3rd , 2 , PITT 27,PITT, 1st,13:40 ,0,0,0, (13:40 - 1st) Qadree Ollison run for 2 yds to the Pitt 29 for a 1ST down ,2,0,0,0,0,1, Qadree Ollison ,0,0,0,0,9/9/2017,2017," University Park, PA 16802 ",home,PSU-20.0,64," 109,898",400935245
4,1st and 10 at PITT 29,1st , 10 , PITT 29,PITT, 1st,12:57 ,0,0,0, (12:57 - 1st) Max Browne pass intercepted Grant Haley return for 42 yds to the Pitt 8 ,42,1, Max Browne,interception,0,0,0,0,0,0,0,9/9/2017,2017," University Park, PA 16802 ",home,PSU-20.0,64," 109,898",400935245
5,1st and Goal at PITT 8,1st , Goal , PITT 8,PSU, 1st,12:53 ,7,0,7," (12:53 - 1st) Trace McSorley pass complete to Mike Gesicki for 8 yds for a TD, (Tyler Davis KICK) ",8,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,9/9/2017,2017," University Park, PA 16802 ",home,PSU-20.0,64," 109,898",400935245
6,,,,,PITT, 1st,12:53 ,7,0,7," (12:53 - 1st) Tyler Davis kickoff for 64 yds , Quadree Henderson return for 16 yds to the Pitt 17 ",64,,,,,,,,,,,9/9/2017,2017," University Park, PA 16802 ",home,PSU-20.0,64," 109,898",400935245
7,1st and 10 at PITT 17,1st , 10 , PITT 17,PITT, 1st,12:37 ,7,0,7, (12:37 - 1st) Avonte Maddox run for 1 yd to the Pitt 18 ,1,0,0,0,0,1, Avonte Maddox ,0,0,0,0,9/9/2017,2017," University Park, PA 16802 ",home,PSU-20.0,64," 109,898",400935245
8,2nd and 9 at PITT 18,2nd , 9 , PITT 18,PITT, 1st,12:14 ,7,0,7, (12:14 - 1st) Darrin Hall run for no gain to the Pitt 18 ,0,0,0,0,0,1, Darrin Hall ,0,0,0,0,9/9/2017,2017," University Park, PA 16802 ",home,PSU-20.0,64," 109,898",400935245
9,3rd and 9 at PITT 18,3rd , 9 , PITT 18,PITT, 1st,11:42 ,7,0,7, (11:42 - 1st) Max Browne pass incomplete to Ruben Flowers III ,0,1, Max Browne,0, Ruben Flowers III ,0,0,0,0,0,0,9/9/2017,2017," University Park, PA 16802 ",home,PSU-20.0,64," 109,898",400935245
10,4th and 9 at PITT 18,4th , 9 , PITT 18,PITT, 1st,11:34 ,7,0,7," (11:34 - 1st) Ryan Winslow punt for 40 yds, fair catch by DeAndre Thompkins at the PnSt 42 ",40,0,0,0,0,0,0,1,0,0,0,9/9/2017,2017," University Park, PA 16802 ",home,PSU-20.0,64," 109,898",400935245
11,1st and 10 at PSU 42,1st , 10 , PSU 42,PSU, 1st,11:34 ,7,0,7, (11:34 - 1st) Saquon Barkley run for 3 yds to the PnSt 45 ,3,0,0,0,0,1, Saquon Barkley ,0,0,0,0,9/9/2017,2017," University Park, PA 16802 ",home,PSU-20.0,64," 109,898",400935245
